"Cabecera","Curul","Distrito","Entidad","Nombre","Tipodeelección","Fecha","Titulo","Sentido","Circunscripción"
"","E-121",NA,"Querétaro","Dip. Raquel Jiménez Cerrillo","Representación proporcional",NA,NA,NA,"2"
"","E-130",NA,"Coahuila","Dip. José Guillermo Anaya Llamas","Representación proporcional",NA,NA,NA,"2"
"","E-133",NA,"Zacatecas","Dip. José Isabel Trejo Reyes","Representación proporcional",NA,NA,NA,"2"
"","C-051",NA,"Tamaulipas","Dip. Lazara Nelly González Aguilar","Representación proporcional",NA,NA,NA,"2"
"","P-503",NA,"Guanajuato","Dip. Francisco Arroyo Vieyra","Representación proporcional",NA,NA,NA,"2"
"","E-141",NA,"Guanajuato","Dip. Ma. Elena Cano Ayala","Representación proporcional",NA,NA,NA,"2"
"","H-266",NA,"Nuevo León","Dip. Jorge Mendoza Garza","Representación proporcional",NA,NA,NA,"2"
"","K-397",NA,"Tamaulipas","Dip. Elsa Patricia Araujo de la Torre","Representación proporcional",NA,NA,NA,"2"
"","M-474",NA,"Nuevo León","Dip. Javier Treviño Cantú","Representación proporcional",NA,NA,NA,"2"
"","L-426",NA,"Coahuila","Dip. Miriam Cárdenas Cantú","Representación proporcional",NA,NA,NA,"2"
"","J-351",NA,"Tamaulipas","Dip. Marco Antonio Bernal Gutiérrez","Representación proporcional",NA,NA,NA,"2"
"","K-396",NA,"Tamaulipas","Dip. Amira Gricelda Gómez Tueme","Representación proporcional",NA,NA,NA,"2"
"","K-395",NA,"Nuevo León","Dip. Eloy Cantú Segovia","Representación proporcional",NA,NA,NA,"2"
"","M-477",NA,"Nuevo León","Dip. María de Jesús Huerta Rea","Representación proporcional",NA,NA,NA,"2"
"","I-304",NA,"Ciudad de México","Dip. Ruth Zavaleta Salgado","Representación proporcional",NA,NA,NA,"4"
"","E-151",NA,"Guanajuato","Dip. Agustín Miguel Alonso Raya","Representación proporcional",NA,NA,NA,"2"
"","J-369",NA,"Nuevo León","Dip. María del Socorro Ceseñas Chapa","Representación proporcional",NA,NA,NA,"2"
"","E-150",NA,"Zacatecas","Dip. Roberto López Suárez","Representación proporcional",NA,NA,NA,"2"
"","D-112",NA,"Coahuila","Dip. Alfa Eliana González Magallanes","Representación proporcional",NA,NA,NA,"2"
"","B-047",NA,"Nuevo León","Dip. Marcelo Garza Ruvalcaba","Representación proporcional",NA,NA,NA,"2"
"","D-115",NA,"Nuevo León","Dip. Alberto Anaya Gutiérrez","Representación proporcional",NA,NA,NA,"2"
"","B-049",NA,"Zacatecas","Dip. Magdalena del Socorro Núñez Monreal","Representación proporcional",NA,NA,NA,"2"
"","H-259",NA,"Aguascalientes","Dip. Antonio Cuéllar Steffan","Representación proporcional",NA,NA,NA,"2"
"","I-305",NA,"Aguascalientes","Dip. Mónica García de la Fuente","Representación proporcional",NA,NA,NA,"2"
"","P-502",NA,"Zacatecas","Dip. Tomás Torres Mercado","Representación proporcional",NA,NA,NA,"2"
"","A-007",NA,"Guanajuato","Dip. Fernando Bribiesca Sahagún","Representación proporcional",NA,NA,NA,"2"
"","B-036",NA,"Nuevo León","Dip. María Sanjuana Cerda Franco","Representación proporcional",NA,NA,NA,"2"
"","B-026",NA,"Oaxaca","Dip. Eufrosina Cruz Mendoza","Representación proporcional",NA,NA,NA,"3"
"","D-089",NA,"Veracruz","Dip. Juan Bueno Torio","Representación proporcional",NA,NA,NA,"3"
"","E-134",NA,"Yucatán","Dip. Beatriz Zavala Peniche","Representación proporcional",NA,NA,NA,"3"
"","D-098",NA,"Campeche","Dip. Jorge Rosiñol Abreu","Representación proporcional",NA,NA,NA,"3"
"","E-119",NA,"Veracruz","Dip. Mariana Dunyaska García Rojas","Representación proporcional",NA,NA,NA,"3"
"","H-250",NA,"Yucatán","Dip. Sergio Augusto Chan Lugo","Representación proporcional",NA,NA,NA,"3"
"","L-419",NA,"Quintana Roo","Dip. Alicia Concepción Ricalde Magaña","Representación proporcional",NA,NA,NA,"3"
"","L-418",NA,"Chiapas","Dip. Juan Jesús Aquino Calvo","Representación proporcional",NA,NA,NA,"3"
"","C-052",NA,"Yucatán","Dip. Cinthya Noemí Valladares Couoh (LICENCIA)","Representación proporcional",NA,NA,NA,"3"
"","K-374",NA,"Oaxaca","Dip. Víctor Rafael González Manríquez","Representación proporcional",NA,NA,NA,"3"
"","F-164",NA,"Tabasco","Dip. Juan Francisco Cáceres de la Fuente","Representación proporcional",NA,NA,NA,"3"
"","J-354",NA,"Campeche","Dip. Rafael Alejandro Moreno Cárdenas","Representación proporcional",NA,NA,NA,"3"
"","J-339",NA,"Chiapas","Dip. Areli Madrid Tovilla","Representación proporcional",NA,NA,NA,"3"
"","L-439",NA,"Veracruz","Dip. Luis Ricardo Aldana Prieto","Representación proporcional",NA,NA,NA,"3"
"","D-102",NA,"Yucatán","Dip. Guadalupe del Socorro Ortega Pacheco","Representación proporcional",NA,NA,NA,"3"
"","H-257",NA,"Oaxaca","Dip. Martín de Jesús Vásquez Villanueva","Representación proporcional",NA,NA,NA,"3"
"","I-310",NA,"Oaxaca","Dip. María de las Nieves García Fernández","Representación proporcional",NA,NA,NA,"3"
"","L-442",NA,"Veracruz","Dip. Jorge Del Angel Acosta","Representación proporcional",NA,NA,NA,"3"
"","L-451",NA,"Quintana Roo","Dip. Lizbeth Loy Gamboa Song","Representación proporcional",NA,NA,NA,"3"
"","K-383",NA,"Chiapas","Dip. Simón Valanci Buzali","Representación proporcional",NA,NA,NA,"3"
"","L-422",NA,"Campeche","Dip. Elvia María Pérez Escalante","Representación proporcional",NA,NA,NA,"3"
"","B-043",NA,"Oaxaca","Dip. Angélica Rocío Melchor Vásquez","Representación proporcional",NA,NA,NA,"3"
"","E-156",NA,"Veracruz","Dip. José Antonio León Mendívil","Representación proporcional",NA,NA,NA,"3"
"","M-497",NA,"Veracruz","Dip. Yazmin de los Ángeles Copete Zapot","Representación proporcional",NA,NA,NA,"3"
"","A-018",NA,"Tabasco","Dip. Juan Manuel Fócil Pérez","Representación proporcional",NA,NA,NA,"3"
"","I-326",NA,"Tabasco","Dip. María Fernanda Romero Lozano","Representación proporcional",NA,NA,NA,"3"
"","F-190",NA,"Oaxaca","Dip. Rosendo Serrano Toledo","Representación proporcional",NA,NA,NA,"3"
"","C-078",NA,"Yucatán","Dip. Teresita de Jesús Borges Pasos","Representación proporcional",NA,NA,NA,"3"
"","C-073",NA,"Yucatán","Dip. Mario Alejandro Cuevas Mena","Representación proporcional",NA,NA,NA,"3"
"","I-322",NA,"Veracruz","Dip. María Guadalupe Moctezuma Oviedo","Representación proporcional",NA,NA,NA,"3"
"","E-159",NA,"Chiapas","Dip. Héctor Hugo Roblero Gordillo","Representación proporcional",NA,NA,NA,"3"
"","C-080",NA,"Veracruz","Dip. Araceli Torres Flores","Representación proporcional",NA,NA,NA,"3"
"","K-385",NA,"Chiapas","Dip. Raciel López Salazar","Representación proporcional",NA,NA,NA,"3"
"","J-347",NA,"Quintana Roo","Dip. Gabriela Medrano Galindo","Representación proporcional",NA,NA,NA,"3"
"","J-345",NA,"Veracruz","Dip. Federico José González Luna Bueno","Representación proporcional",NA,NA,NA,"3"
"","J-343",NA,"Chiapas","Dip. Martha Edith Vital Vera","Representación proporcional",NA,NA,NA,"3"
"","F-198",NA,"Tabasco","Dip. Nelly del Carmen Vargas Pérez","Representación proporcional",NA,NA,NA,"3"
"","A-008",NA,"Campeche","Dip. José Angelino Caamal Mena","Representación proporcional",NA,NA,NA,"3"
"","B-035",NA,"Chiapas","Dip. Sonia Rincón Chanona","Representación proporcional",NA,NA,NA,"3"
"","H-246",NA,"Morelos","Dip. Juan Pablo Adame Alemán","Representación proporcional",NA,NA,NA,"4"
"","C-058",NA,"Ciudad de México","Dip. Flor de María Pedraza Aguilera","Representación proporcional",NA,NA,NA,"4"
"","D-087",NA,"Ciudad de México","Dip. Gerardo Maximiliano Cortázar Lara","Representación proporcional",NA,NA,NA,"4"
"","A-005",NA,"Tlaxcala","Dip. Leonor Romero Sevilla","Representación proporcional",NA,NA,NA,"4"
"","H-242",NA,"Puebla","Dip. Rafael Alejandro Micalco Méndez","Representación proporcional",NA,NA,NA,"4"
"","K-372",NA,"Ciudad de México","Dip. Fernando Rodríguez Doval","Representación proporcional",NA,NA,NA,"4"
"","E-123",NA,"Ciudad de México","Dip. Margarita Saldaña Hernández","Representación proporcional",NA,NA,NA,"4"
"","D-083",NA,"Morelos","Dip. Luis Miguel Ramírez Romero","Representación proporcional",NA,NA,NA,"4"
"","D-095",NA,"Tlaxcala","Dip. Aurora de la Luz Aguilar Rodríguez","Representación proporcional",NA,NA,NA,"4"
"","H-264",NA,"Ciudad de México","Dip. Carlos Humberto Aceves y del Olmo","Representación proporcional",NA,NA,NA,"4"
"","J-350",NA,"Morelos","Dip. Maricela Velázquez Sánchez","Representación proporcional",NA,NA,NA,"4"
"","I-308",NA,"Guerrero","Dip. Manuel Añorve Baños","Representación proporcional",NA,NA,NA,"4"
"","M-487",NA,"Puebla","Dip. Frine Soraya Córdova Morán","Representación proporcional",NA,NA,NA,"4"
"","M-485",NA,"Puebla","Dip. Javier López Zavala","Representación proporcional",NA,NA,NA,"4"
"","H-255",NA,"Ciudad de México","Dip. Paloma Villaseñor Vargas","Representación proporcional",NA,NA,NA,"4"
"","H-256",NA,"Ciudad de México","Dip. Felipe de Jesús Muñoz Kapamas","Representación proporcional",NA,NA,NA,"4"
"","P-509",NA,"Ciudad de México","Dip. Julio César Moreno Rivera","Representación proporcional",NA,NA,NA,"4"
"","E-148",NA,"Guerrero","Dip. Teresa de Jesús Mojica Morga","Representación proporcional",NA,NA,NA,"4"
"","E-154",NA,"Ciudad de México","Dip. Trinidad Secundino Morales Vargas","Representación proporcional",NA,NA,NA,"4"
"","K-414",NA,"Morelos","Dip. Gisela Raquel Mota Ocampo","Representación proporcional",NA,NA,NA,"4"
"","K-408",NA,"Ciudad de México","Dip. José Ángel Ávila Pérez","Representación proporcional",NA,NA,NA,"4"
"","I-321",NA,"Ciudad de México","Dip. Amalia Dolores García Medina","Representación proporcional",NA,NA,NA,"4"
"","G-233",NA,"Ciudad de México","Dip. Fernando Belaunzarán Méndez","Representación proporcional",NA,NA,NA,"4"
"","A-022",NA,"Puebla","Dip. Roxana Luna Porquillo","Representación proporcional",NA,NA,NA,"4"
"","J-368",NA,"Ciudad de México","Dip. Guillermo Sánchez Torres","Representación proporcional",NA,NA,NA,"4"
"","H-278",NA,"Ciudad de México","Dip. Yesenia Nolasco Ramírez","Representación proporcional",NA,NA,NA,"4"
"","M-499",NA,"Ciudad de México","Dip. Martí Batres Guadarrama","Representación proporcional",NA,NA,NA,"4"
"","E-147",NA,"Ciudad de México","Dip. Margarita Elena Tapia Fonllem","Representación proporcional",NA,NA,NA,"4"
"","C-076",NA,"Ciudad de México","Dip. Luis Manuel Arias Pallares","Representación proporcional",NA,NA,NA,"4"
"","G-239",NA,"Ciudad de México","Dip. Ricardo Monreal Ávila","Representación proporcional",NA,NA,NA,"4"
"","A-050",NA,"Ciudad de México","Dip. Loretta Ortíz Ahlf","Representación proporcional",NA,NA,NA,"4"
"","D-116",NA,"Ciudad de México","Dip. Adolfo Orive Bellinger","Representación proporcional",NA,NA,NA,"4"
"","I-302",NA,"Ciudad de México","Dip. Laura Ximena Martel Cantú","Representación proporcional",NA,NA,NA,"4"
"","I-306",NA,"Ciudad de México","Dip. Arturo Escobar y Vega","Representación proporcional",NA,NA,NA,"4"
"","H-282",NA,"Ciudad de México","Dip. Luisa María Alcalde Luján","Representación proporcional",NA,NA,NA,"4"
"","G-238",NA,"Guerrero","Dip. Ricardo Mejía Berdeja","Representación proporcional",NA,NA,NA,"4"
"","F-197",NA,"Puebla","Dip. Zuleyma Huidobro González","Representación proporcional",NA,NA,NA,"4"
"","F-199",NA,"Chihuahua","Dip. Martha Beatriz Córdova Bernal","Representación proporcional",NA,NA,NA,"1"
"","B-037",NA,"Ciudad de México","Dip. René Ricardo Fujiwara Montelongo","Representación proporcional",NA,NA,NA,"4"
"","B-034",NA,"Ciudad de México","Dip. Cristina Olvera Barrios","Representación proporcional",NA,NA,NA,"4"
"","G-210",NA,"México","Dip. Adriana González Carrillo","Representación proporcional",NA,NA,NA,"5"
"","D-091",NA,"México","Dip. Alfredo Rivadeneyra Hernández","Representación proporcional",NA,NA,NA,"5"
"","G-207",NA,"Colima","Dip. Martha Leticia Sosa Govea","Representación proporcional",NA,NA,NA,"5"
"","E-135",NA,"Michoacán","Dip. José González Morfín","Representación proporcional",NA,NA,NA,"5"
"","J-332",NA,"Michoacán","Dip. Martha Berenice Álvarez Tovar","Representación proporcional",NA,NA,NA,"5"
"","G-208",NA,"México","Dip. Ma. Guadalupe Mondragón González","Representación proporcional",NA,NA,NA,"5"
"","K-373",NA,"Hidalgo","Dip. Erick Marte Rivera Villanueva","Representación proporcional",NA,NA,NA,"5"
"","F-161",NA,"Colima","Dip. Patricia Lugo Barriga","Representación proporcional",NA,NA,NA,"5"
"","C-056",NA,"México","Dip. Juan Carlos Uribe Padilla","Representación proporcional",NA,NA,NA,"5"
"","B-027",NA,"México","Dip. Karina Labastida Sotelo","Representación proporcional",NA,NA,NA,"5"
"","J-366",NA,"Hidalgo","Dip. Jesús Murillo Karam","Representación proporcional",NA,NA,NA,"5"
"","F-183",NA,"México","Dip. Erika Yolanda Funes Velázquez","Representación proporcional",NA,NA,NA,"5"
"","J-356",NA,"México","Dip. Raúl Macías Sandoval","Representación proporcional",NA,NA,NA,"5"
"","F-181",NA,"Hidalgo","Dip. Nuvia Magdalena Mayorga Delgado","Representación proporcional",NA,NA,NA,"5"
"","J-353",NA,"Colima","Dip. Arnoldo Ochoa González","Representación proporcional",NA,NA,NA,"5"
"","M-495",NA,"México","Dip. Maricruz Cruz Morales","Representación proporcional",NA,NA,NA,"5"
"","I-310",NA,"Michoacán","Dip. Alfredo Anaya Gudiño","Representación proporcional",NA,NA,NA,"5"
"","J-359",NA,"México","Dip. Leticia Calderón Ramírez","Representación proporcional",NA,NA,NA,"5"
"","L-449",NA,"México","Dip. Brasil Alberto Acosta Peña","Representación proporcional",NA,NA,NA,"5"
"","H-251",NA,"Michoacán","Dip. Blanca Ma. Villaseñor Gudiño","Representación proporcional",NA,NA,NA,"5"
"","J-360",NA,"México","Dip. Fernando Salgado Delgado","Representación proporcional",NA,NA,NA,"5"
"","D-110",NA,"México","Dip. Javier Salinas Narváez","Representación proporcional",NA,NA,NA,"5"
"","C-071",NA,"México","Dip. Juana Bonilla Jaime","Representación proporcional",NA,NA,NA,"5"
"","D-109",NA,"México","Dip. Ramón Montalvo Hernández","Representación proporcional",NA,NA,NA,"5"
"","B-045",NA,"México","Dip. Josefina Salinas Pérez","Representación proporcional",NA,NA,NA,"5"
"","A-019",NA,"Michoacán","Dip. Victor Manuel Manriquez González","Representación proporcional",NA,NA,NA,"5"
"","C-079",NA,"Michoacán","Dip. Verónica García Reyes","Representación proporcional",NA,NA,NA,"5"
"","C-077",NA,"México","Dip. Ángel Cedillo Hernández","Representación proporcional",NA,NA,NA,"5"
"","K-411",NA,"México","Dip. Julisa Mejía Guardado","Representación proporcional",NA,NA,NA,"5"
"","G-237",NA,"Hidalgo","Dip. Pedro Porras Pérez","Representación proporcional",NA,NA,NA,"5"
"","D-108",NA,"México","Dip. Carla Guadalupe Reyes Montiel","Representación proporcional",NA,NA,NA,"5"
"","M-498",NA,"México","Dip. Domitilo Posadas Hernández","Representación proporcional",NA,NA,NA,"5"
"","D-117",NA,"México","Dip. Ricardo Cantú Garza","Representación proporcional",NA,NA,NA,"5"
"","C-081",NA,"Michoacán","Dip. Ma. del Carmen Martínez Santillán","Representación proporcional",NA,NA,NA,"5"
"","P-505",NA,"México","Dip. Javier Orozco Gómez","Representación proporcional",NA,NA,NA,"5"
"","H-262",NA,"México","Dip. Carla Alicia Padilla Ramos","Representación proporcional",NA,NA,NA,"5"
"","J-348",NA,"Colima","Dip. Nabor Ochoa López","Representación proporcional",NA,NA,NA,"5"
"","H-283",NA,"México","Dip. Juan Ignacio Samperio Montaño","Representación proporcional",NA,NA,NA,"5"
"","C-066",NA,"México","Dip. Lucila Garfias Gutiérrez","Representación proporcional",NA,NA,NA,"5"
"","C-065",NA,"México","Dip. Luis Antonio González Roldán","Representación proporcional",NA,NA,NA,"5"
